,Treated_1,Treated_2,Treated_3,Untreated_1,Untreated_2,Untreated_3,Untreated_4
ID=FBgn0052944,881,409,414,690,529,425,800
ID=FBgn0052982,1901,2283,2984,2083,2604,1914,1609
ID=FBgn0052984,152,143,138,154,179,157,149
ID=FBgn0052985,138,103,119,62,90,71,55
ID=FBgn0053002,310,404,588,272,308,401,335
ID=FBgn0053051,139,122,186,133,128,125,130
ID=FBgn0053052,430,507,668,512,405,528,515
ID=FBgn0053054,426,540,749,476,679,672,708
ID=FBgn0053056,292,402,578,360,556,533,616
ID=FBgn0053057,668,729,985,715,783,793,787
ID=FBgn0053062,167,184,231,128,153,168,206
ID=FBgn0053087,5300,7759,8178,5625,8177,6550,5876
ID=FBgn0053094,1216,1692,2081,1441,1999,1909,2119
ID=FBgn0053095,1344,1296,1507,1221,1204,983,1213
ID=FBgn0053096,1344,1296,1507,1221,1204,983,1213
ID=FBgn0053100,5480,4906,6891,5598,5661,4467,3736
ID=FBgn0053105,3867,6758,8402,4431,6543,6007,5482
ID=FBgn0053107,141,207,284,148,220,237,231
ID=FBgn0053108,437,507,630,349,347,424,424
ID=FBgn0053111,2553,3366,3997,3092,3515,2728,2850
ID=FBgn0053113,3964,4367,5500,4583,5471,4516,4511
ID=FBgn0053116,980,979,1256,850,952,854,1162
ID=FBgn0053129,2895,3501,4129,2595,3476,3250,3866
ID=FBgn0053138,1505,2615,3301,1102,1798,1824,1596
ID=FBgn0053144,1400,2292,2915,1217,2295,1770,1577
ID=FBgn0053145,496,534,561,506,490,479,513
ID=FBgn0053155,493,602,841,588,635,573,646
ID=FBgn0053156,163,235,277,139,184,219,217
ID=FBgn0053158,2163,2743,3219,2308,2752,2782,2799
ID=FBgn0053170,383,224,227,356,178,162,411
ID=FBgn0053172,151,151,145,134,145,175,205
ID=FBgn0053180,1080,1197,1364,1012,1165,1244,1516
ID=FBgn0053181,351,381,447,582,625,529,409
ID=FBgn0053182,2214,2911,3352,2614,3414,2562,2450
ID=FBgn0053193,270,512,702,241,383,317,326
ID=FBgn0053196,5407,3126,3333,3690,2523,1977,2989
ID=FBgn0053198,173,177,185,136,202,166,270
ID=FBgn0053199,1448,1660,2201,1852,1785,2098,1980
ID=FBgn0053203,7274,11393,14381,9616,14582,15646,13825
ID=FBgn0053207,733,900,1118,913,1116,886,807
ID=FBgn0053208,2198,3062,3609,2531,3487,2740,2506
ID=FBgn0053213,201,300,371,211,278,289,299
ID=FBgn0053217,244,102,99,131,82,83,280
ID=FBgn0053222,31179,62311,84493,44918,65216,77661,58415
ID=FBgn0053223,89,47,61,150,222,215,111
ID=FBgn0053229,1324,1514,1653,1370,1520,1361,1561
ID=FBgn0053230,423,564,697,643,636,674,665
ID=FBgn0053294,213,111,163,185,140,110,162
ID=FBgn0053303,3817,7461,9366,4253,5905,6696,6087
ID=FBgn0053307,671,552,746,2011,1468,1813,1566
ID=FBgn0053329,395,584,944,534,1007,782,967
ID=FBgn0053460,1823,1829,2561,2224,2340,2560,3605
ID=FBgn0053465,253,290,349,296,342,335,692
ID=FBgn0053470,192,135,186,190,136,121,146
ID=FBgn0053487,77,129,186,69,115,112,180
ID=FBgn0053491,64,138,178,78,165,181,136
ID=FBgn0053494,1606,962,1225,1356,1052,1051,2095
ID=FBgn0053496,67,112,186,61,115,163,130
ID=FBgn0053497,211,546,697,274,630,528,474
ID=FBgn0053498,49,115,128,48,132,122,100
ID=FBgn0053499,152,294,363,199,352,293,215
ID=FBgn0053502,461,613,910,383,574,627,546
ID=FBgn0053503,355,366,435,506,454,489,549
ID=FBgn0053505,218,381,531,302,358,427,429
ID=FBgn0053506,190,277,320,184,212,239,221
ID=FBgn0053513,128,180,187,156,188,148,86
ID=FBgn0053516,721,759,985,1359,1716,1258,1476
ID=FBgn0053517,2255,965,1090,2872,1998,1294,1149
ID=FBgn0053519,183,393,392,197,315,250,208
ID=FBgn0053523,4555,1117,1359,2497,1011,1082,1245
ID=FBgn0053526,2272,2527,3207,2437,2937,2764,2429
ID=FBgn0053554,28462,12957,12485,14239,11239,8905,15132
ID=FBgn0053556,263,440,499,188,245,201,89
ID=FBgn0053558,7176,4814,5737,4557,3625,2792,2370
ID=FBgn0053635,120,77,91,98,90,100,110
ID=FBgn0053653,322,115,128,232,130,124,138
ID=FBgn0053774,229,201,238,117,212,220,476
ID=FBgn0053867,359,398,379,187,380,305,510
ID=FBgn0053926,609,1330,1625,553,938,958,324
ID=FBgn0053963,235,137,165,200,179,150,152
ID=FBgn0053964,849,988,1504,910,836,928,823
ID=FBgn0053969,410,533,655,292,351,449,481
ID=FBgn0053971,135,193,207,162,243,183,233
ID=FBgn0053977,234,116,99,151,85,99,231
ID=FBgn0053978,496,220,210,359,284,161,397
ID=FBgn0053987,136,108,148,162,131,128,165
ID=FBgn0053988,5484,2876,3441,3678,2658,2121,3269
ID=FBgn0053995,1911,2173,2821,1445,1900,1758,1776
ID=FBgn0054001,836,1387,1733,795,1207,1203,1132
ID=FBgn0054003,187,231,280,221,232,340,218
ID=FBgn0054008,115,133,165,126,75,109,108
ID=FBgn0054031,142,73,100,142,74,76,120
ID=FBgn0054056,33,64,75,78,112,101,104
ID=FBgn0058002,1050,670,927,655,809,710,946
ID=FBgn0058005,464,306,285,323,277,258,607
ID=FBgn0058006,1053,537,632,825,634,427,506
ID=FBgn0058045,2254,1426,1762,2460,1668,1433,2194
ID=FBgn0058160,1871,1607,1975,1802,2073,1855,2330
ID=FBgn0058191,1771,1200,1443,1582,1309,1227,1842
ID=FBgn0058263,2221,1785,1804,2101,2884,1741,2096
ID=FBgn0058354,844,1257,1490,798,1195,1018,724
ID=FBgn0058439,427,218,264,414,329,217,458
ID=FBgn0058469,10255,1442,1030,3709,859,1063,885
ID=FBgn0058470,2736,1116,1169,2075,1484,1073,1698
ID=FBgn0060296,158,161,178,83,88,107,123
ID=FBgn0061198,297,187,271,406,188,218,334
ID=FBgn0061200,3566,5063,6018,4765,5770,4712,4962
ID=FBgn0061359,907,1025,1213,955,933,907,1110
ID=FBgn0061360,907,1025,1213,955,933,907,1110
ID=FBgn0061361,773,1598,1999,836,1218,1383,1187
ID=FBgn0061362,773,1598,1999,836,1218,1383,1187
ID=FBgn0061469,990,1464,1705,1001,1213,1208,1093
ID=FBgn0061476,521,636,770,457,543,580,579
ID=FBgn0061492,312,572,784,267,466,496,677
ID=FBgn0061515,1718,1784,2323,1857,1581,1438,1544
ID=FBgn0062413,716,1072,1414,708,1075,1038,1176
ID=FBgn0062440,242,300,391,348,323,429,396
ID=FBgn0062442,847,1096,1466,807,1177,1201,1167
ID=FBgn0062449,254,198,278,288,252,230,292
ID=FBgn0062928,115,214,299,112,183,192,94
ID=FBgn0063298,320,558,670,366,562,543,522
ID=FBgn0063449,137,99,95,130,89,103,159
ID=FBgn0063485,27238,15758,17189,15526,14458,11688,16234
ID=FBgn0063491,1143,1587,2238,904,1088,1123,1342
ID=FBgn0063492,872,950,1335,552,524,575,582
ID=FBgn0063493,341,448,748,178,254,263,332
ID=FBgn0063494,2237,2253,2872,1694,1572,1800,2141
ID=FBgn0063497,304,427,548,286,348,400,486
ID=FBgn0063498,207,198,289,482,594,560,628
ID=FBgn0063649,349,446,542,838,1198,887,1184
ID=FBgn0063670,399,133,153,240,164,186,332
ID=FBgn0063923,123,144,194,165,198,236,301
ID=FBgn0064115,353,493,707,439,468,447,472
ID=FBgn0064116,1853,2650,3558,1871,2552,2689,2301
ID=FBgn0064117,1853,2650,3558,1871,2552,2689,2301
ID=FBgn0064126,726,936,1220,679,729,787,891
ID=FBgn0064225,119693,128929,155949,97741,119844,147521,159972
ID=FBgn0064766,1236,1869,2346,1332,1742,1760,1809
ID=FBgn0065032,426,461,562,408,365,486,555
ID=FBgn0065035,84,52,90,94,82,62,92
ID=FBgn0065081,942,620,771,973,659,577,776
ID=FBgn0065092,142,170,204,151,221,140,166
ID=FBgn0065101,97,131,155,192,97,110,255
ID=FBgn0065104,256,269,371,393,313,315,324
ID=FBgn0065107,79,121,160,79,198,132,160
ID=FBgn0066084,25219,20713,24164,11646,13549,20101,27877
ID=FBgn0066114,514,776,990,612,820,738,704
ID=FBgn0066292,4780,665,810,2407,591,380,387
ID=FBgn0066303,501,822,939,613,743,747,675
ID=FBgn0066304,501,822,939,613,743,747,675
ID=FBgn0067102,784,1243,1713,976,1279,1294,1247
ID=FBgn0067622,555,718,897,521,686,750,876
ID=FBgn0067628,137,208,213,114,118,127,115
ID=FBgn0067629,245,289,289,176,189,190,208
ID=FBgn0067779,814,573,685,869,690,640,758
ID=FBgn0067782,129,172,327,159,268,209,231
ID=FBgn0067783,208,250,418,256,365,308,332
ID=FBgn0067861,129,204,221,171,214,186,209
ID=FBgn0067864,886,1417,1830,935,1248,1172,1139
ID=FBgn0069242,1689,2843,3897,1884,2450,2752,2295
ID=FBgn0069973,116,160,199,140,207,189,143
ID=FBgn0082582,1224,1629,1987,1296,1711,1443,1484
ID=FBgn0082585,549,776,1086,677,771,764,609
ID=FBgn0082598,3364,3441,4175,3299,3536,3138,3370
ID=FBgn0082831,2005,2856,3566,2200,2812,2358,2394
ID=FBgn0083068,321,199,257,259,181,214,229
ID=FBgn0083121,6444,3034,3553,2823,3011,3186,7024
ID=FBgn0083167,606,878,1098,580,661,805,729
ID=FBgn0083940,4846,1882,2110,5233,3551,2480,2448
ID=FBgn0083953,195,187,260,210,161,154,216
ID=FBgn0083961,497,639,816,579,644,634,656
ID=FBgn0083962,3496,4527,5708,3593,4901,4222,5177
ID=FBgn0083967,360,445,617,348,442,461,480
ID=FBgn0083968,188,150,179,163,130,225,252
ID=FBgn0083969,1865,2342,2981,2181,2825,2712,2735
ID=FBgn0083970,92,118,144,97,86,83,111
ID=FBgn0083971,2597,3774,5063,2752,3264,3305,2812
ID=FBgn0083976,626,786,999,561,766,835,825
ID=FBgn0083977,244,294,358,260,346,242,225
ID=FBgn0083983,109,135,176,38,50,91,149
ID=FBgn0083986,95,98,159,106,84,60,143
ID=FBgn0083992,626,786,999,562,767,835,825
ID=FBgn0085188,509,441,660,629,482,596,716
ID=FBgn0085192,103,56,42,120,43,60,127
ID=FBgn0085193,1861,2469,3348,2279,2722,3119,2570
ID=FBgn0085208,1111,2290,2932,1543,2422,2554,2313
ID=FBgn0085220,251,296,312,250,184,247,256
ID=FBgn0085223,67,71,128,103,102,105,133
ID=FBgn0085224,106,136,148,161,117,147,165
ID=FBgn0085229,297,251,189,275,113,162,290
ID=FBgn0085236,232,85,67,152,105,109,279
ID=FBgn0085248,137,95,118,160,84,109,141
ID=FBgn0085249,116,271,428,204,424,312,287
ID=FBgn0085260,303,395,511,257,314,325,352
ID=FBgn0085261,91,142,230,222,285,244,81
ID=FBgn0085279,120,72,72,80,56,60,108
ID=FBgn0085284,119,105,103,98,48,79,118
ID=FBgn0085339,2520,4112,5187,3165,4353,4513,3717
ID=FBgn0085342,177,184,261,138,199,213,172
ID=FBgn0085343,115,120,137,120,134,119,127
ID=FBgn0085344,321,495,574,360,537,533,513
ID=FBgn0085346,583,882,1048,611,744,763,887
ID=FBgn0085350,215,194,246,189,243,200,315
ID=FBgn0085351,310,330,370,322,356,311,456
ID=FBgn0085354,188,246,389,144,150,177,181
ID=FBgn0085359,6,4,2,107,96,145,171
ID=FBgn0085360,564,867,1154,809,898,1185,534
ID=FBgn0085370,3641,4423,5720,3324,5032,3771,4343
ID=FBgn0085376,23787,11389,11785,11363,9270,7788,10830
ID=FBgn0085377,224,340,305,250,312,312,367
ID=FBgn0085382,7224,2603,2979,7282,4725,3411,3744
ID=FBgn0085383,5236,2578,2885,3739,2109,1871,3033
ID=FBgn0085384,6471,3465,4092,4905,3589,2794,2857
ID=FBgn0085386,444,337,397,360,345,300,253
ID=FBgn0085390,322,175,321,318,308,260,277
ID=FBgn0085395,4181,6733,9044,5259,7441,8043,6823
ID=FBgn0085405,315,444,596,340,498,430,426
ID=FBgn0085423,2446,2950,3712,2125,3012,2273,2684
ID=FBgn0085425,777,1425,1617,713,1346,1189,1448
ID=FBgn0085430,1936,3213,3657,2198,3593,2739,2714
ID=FBgn0085431,1427,1493,1794,1412,1438,1629,1431
ID=FBgn0085432,1848,1098,1194,1427,1298,864,1777
ID=FBgn0085433,307,442,544,375,453,424,428
ID=FBgn0085434,25737,21393,24976,12359,14430,20836,28774
ID=FBgn0085436,15501,20217,23638,19962,23660,19376,18833
ID=FBgn0085437,833,1587,1868,849,1704,1365,1516
ID=FBgn0085438,142,139,180,146,154,173,157
ID=FBgn0085440,515,531,684,594,465,579,545
ID=FBgn0085442,3935,5449,6977,5208,6446,5624,6450
ID=FBgn0085443,8311,6040,7373,9131,8566,6474,5439
ID=FBgn0085444,1630,1801,2007,1709,1715,1569,1914
ID=FBgn0085446,5461,7556,9498,4500,5424,4423,4077
ID=FBgn0085447,199,173,291,201,181,243,237
ID=FBgn0085450,6945,3967,4535,8598,7187,5052,4643
ID=FBgn0085451,2464,4724,5700,3047,5120,4047,3569
ID=FBgn0085452,134,105,138,142,107,92,92
ID=FBgn0085453,176,319,422,122,256,215,214
ID=FBgn0085459,276,270,312,188,183,177,260
ID=FBgn0085460,278,170,171,135,127,94,230
ID=FBgn0085466,299,229,247,216,204,228,535
ID=FBgn0085468,431,415,521,406,357,372,447
ID=FBgn0085470,1013,1312,1494,1053,1303,1223,1219
ID=FBgn0085478,2282,2852,3460,2148,3170,2325,2057
ID=FBgn0085484,206,375,404,233,356,299,324
ID=FBgn0085599,144,96,170,116,172,135,158
ID=FBgn0085612,187,89,117,147,104,108,192
ID=FBgn0085638,1862,962,1156,1527,1381,1049,1493
ID=FBgn0085732,673,674,897,626,684,663,797
ID=FBgn0085734,212,233,330,285,286,242,204
ID=FBgn0085736,1109,718,862,611,664,629,913
ID=FBgn0085753,31360,16557,15083,25558,21203,15266,902
ID=FBgn0085771,14086,8086,6994,11225,9226,7043,874
ID=FBgn0085786,90,59,58,104,69,73,109
ID=FBgn0085802,28816,31270,36211,29971,48968,34170,3354
ID=FBgn0085810,212,86,103,198,99,75,146
ID=FBgn0085813,20818,13547,13620,21223,20006,13702,1614
ID=FBgn0085819,10319,5514,4868,8259,6054,4633,692
ID=FBgn0086129,1026,1299,1622,1382,1482,1198,1159
ID=FBgn0086130,268,413,543,312,331,387,332
ID=FBgn0086134,1505,2163,2739,1345,1774,1835,2206
ID=FBgn0086200,192,188,225,143,142,158,176
ID=FBgn0086251,1471,1174,1377,1609,1334,1132,1285
ID=FBgn0086253,602,1096,1386,551,817,773,799
ID=FBgn0086254,1479,1542,2331,1354,1697,1873,1978
ID=FBgn0086346,2997,4966,6380,3533,5267,5109,4753
ID=FBgn0086347,4035,6924,8935,5245,7882,7415,7512
ID=FBgn0086350,314,233,263,243,198,177,272
ID=FBgn0086355,3684,7219,9341,2411,4294,3820,3738
ID=FBgn0086356,1829,2785,3627,1812,2535,2512,2474
ID=FBgn0086357,4840,7080,9399,3751,5220,5386,5765
ID=FBgn0086358,1212,1694,2173,1746,2620,2110,1766
ID=FBgn0086359,270,360,471,201,350,313,388
ID=FBgn0086361,3406,3916,5448,3909,4392,4045,3930
ID=FBgn0086362,271,381,495,303,406,442,385
ID=FBgn0086365,2787,3915,4737,4331,5606,5410,5029
ID=FBgn0086370,1745,2117,2731,1692,2032,1875,1761
ID=FBgn0086371,618,762,905,623,664,795,928
ID=FBgn0086372,666,582,751,546,660,625,983
ID=FBgn0086378,839,487,468,427,413,462,924
ID=FBgn0086384,911,1401,1766,1046,1341,1361,1215
ID=FBgn0086442,2313,3654,4580,2612,3737,3376,3108
ID=FBgn0086443,3716,5827,7342,3997,5985,6109,6250
ID=FBgn0086444,569,943,1258,697,867,888,808
ID=FBgn0086445,306,392,527,294,288,344,371
ID=FBgn0086446,428,600,858,412,470,631,568
ID=FBgn0086447,315,242,350,332,269,204,314
ID=FBgn0086448,114,70,88,79,46,83,131
ID=FBgn0086450,3576,6467,8001,5601,9764,8610,6730
ID=FBgn0086451,1343,2106,2220,1500,2189,1900,2380
ID=FBgn0086472,24200,34155,44413,27954,30086,39140,33079
ID=FBgn0086532,1750,2511,3143,1308,1894,1914,2048
ID=FBgn0086558,6835,11229,15927,8545,10888,12943,11139
ID=FBgn0086605,978,1157,1380,1114,1214,1179,1119
ID=FBgn0086655,613,718,885,679,855,551,612
ID=FBgn0086656,1910,1716,2597,2377,2169,2405,2256
ID=FBgn0086657,483,659,857,498,553,654,610
ID=FBgn0086674,1657,1985,2510,2198,2516,2229,2590
ID=FBgn0086676,5139,7162,10042,4959,7410,5997,7442
ID=FBgn0086679,1676,1981,2371,1609,1793,1825,2116
ID=FBgn0086683,1187,1164,1675,1374,1306,1263,1433
ID=FBgn0086686,3680,3688,4562,4120,4334,3294,2506
ID=FBgn0086687,6842,9326,12295,8691,11743,11470,11765
ID=FBgn0086690,3871,4857,5841,4015,5068,4558,4629
ID=FBgn0086691,197,171,203,174,201,226,268
ID=FBgn0086694,1126,1807,2192,1276,1696,1614,1527
ID=FBgn0086695,242,409,569,313,503,486,466
ID=FBgn0086698,286,566,809,332,586,535,460
ID=FBgn0086706,5775,8040,10428,6952,8640,9619,8732
ID=FBgn0086707,2351,2619,3373,2963,3047,2753,2130
ID=FBgn0086708,150,246,323,284,414,349,259
ID=FBgn0086710,7026,10386,14620,8398,11185,13646,11878
ID=FBgn0086712,769,1107,1504,815,1074,1138,1022
ID=FBgn0086757,572,622,837,855,885,764,856
ID=FBgn0086758,9018,8161,10305,12601,13381,9583,8199
ID=FBgn0086768,693,841,1400,692,949,1021,988
ID=FBgn0086779,1942,1659,1881,1901,1829,1576,1958
ID=FBgn0086782,292,162,221,340,339,238,297
ID=FBgn0086784,780,1197,1503,875,1222,1265,1113
ID=FBgn0086785,338,474,668,337,427,500,430
ID=FBgn0086855,597,779,887,620,697,648,673
ID=FBgn0086856,257,201,256,258,209,187,228
ID=FBgn0086895,734,1020,1157,827,907,825,827
ID=FBgn0086904,7411,11771,15335,8012,11110,12339,10142
ID=FBgn0086906,24841,13251,13708,11625,10127,8354,11373
ID=FBgn0086908,1247,1876,2457,1435,1666,1797,1741
ID=FBgn0086909,491,509,619,486,510,454,602
ID=FBgn0086912,333,406,531,443,380,512,528
ID=FBgn0087002,812,436,409,727,615,422,595
ID=FBgn0087007,24258,11957,11873,11066,9500,7727,11077
ID=FBgn0087008,3431,6437,7177,4228,7288,5525,5429
ID=FBgn0087011,8237,3464,3954,9130,5978,4280,4466
ID=FBgn0087013,8213,12868,15729,9332,13408,13535,12428
ID=FBgn0087021,298,345,435,247,272,340,417
ID=FBgn0087035,8711,14185,17811,13148,17616,15060,13599
ID=FBgn0087039,392,355,393,399,338,305,355
ID=FBgn0087041,2310,2126,2758,2498,2616,2083,2076
ID=FBgn0243511,1095,1748,2262,1169,1913,1707,1678
ID=FBgn0243512,2546,2543,3100,4074,4071,3085,3692
ID=FBgn0243514,10143,11061,12634,7346,13181,10990,11669
ID=FBgn0243516,1398,1797,2215,1660,2054,1534,2051
ID=FBgn0250731,1088,38,13,354,62,18,122
ID=FBgn0250732,887,1358,1704,1229,1540,1538,1506
ID=FBgn0250746,1420,2419,3070,1210,1870,1964,1879
ID=FBgn0250753,8394,6663,8196,8281,7209,6862,8973
ID=FBgn0250754,6725,6199,6681,7408,7052,5126,6575
ID=FBgn0250755,202,196,277,182,244,193,203
ID=FBgn0250757,137,134,152,61,72,103,73
ID=FBgn0250785,1628,2075,2844,1114,1616,1478,1749
ID=FBgn0250786,2590,3908,4647,3473,4378,3695,3198
ID=FBgn0250788,11105,18252,22238,10115,15786,12797,11335
ID=FBgn0250789,19832,35078,41380,20247,32210,25675,22649
ID=FBgn0250791,1567,1925,2551,1752,1890,1941,1880
ID=FBgn0250814,2068,4036,5121,2339,4777,4548,3470
ID=FBgn0250816,4608,3312,3583,3478,3398,2534,3706
ID=FBgn0250819,173,67,76,121,94,80,207
ID=FBgn0250820,685,957,1454,705,985,1087,994
ID=FBgn0250823,3883,3249,3793,4153,3801,3063,3767
ID=FBgn0250824,786,1094,1468,887,1018,1075,954
ID=FBgn0250830,205,144,158,203,187,147,328
ID=FBgn0250837,1893,3625,4349,1366,2289,2668,2354
ID=FBgn0250838,1632,1934,2390,1722,1653,1911,1995
ID=FBgn0250843,1773,2890,3971,1892,2121,2413,2671
ID=FBgn0250848,7090,13349,17358,7869,14192,15636,12878
ID=FBgn0250850,1276,2381,3142,1271,2282,2179,2221
ID=FBgn0250851,1721,2171,2658,1741,2117,2060,2278
ID=FBgn0250867,3223,2982,3611,2011,2514,1934,2334
ID=FBgn0250868,244,168,186,183,145,138,261
ID=FBgn0250869,440,481,590,561,676,636,475
ID=FBgn0250874,1631,3303,4726,1956,3162,2925,2834
ID=FBgn0250903,1013,1312,1494,1053,1303,1223,1219
ID=FBgn0250906,2855,4620,5999,1909,3148,3108,2741
ID=FBgn0250907,552,402,548,543,553,438,477
ID=FBgn0250911,6067,8005,10629,7359,9433,7665,6697
ID=FBgn0259108,408,423,524,499,609,450,391
ID=FBgn0259110,4810,859,1093,2843,1367,1073,1417
ID=FBgn0259111,2905,4184,5241,1843,3013,2471,2008
ID=FBgn0259112,135,143,201,129,123,143,176
ID=FBgn0259113,1550,1839,2229,1869,2236,1979,2219
ID=FBgn0259139,2148,2845,3496,2548,2940,2675,2833
ID=FBgn0259143,609,523,677,885,754,605,630
ID=FBgn0259152,596,691,809,541,833,720,729
ID=FBgn0259163,96,133,155,98,140,127,111
ID=FBgn0259164,72,95,118,59,127,90,102
ID=FBgn0259166,680,1192,1540,523,976,829,750
ID=FBgn0259167,64,110,155,94,187,146,123
ID=FBgn0259168,2648,3214,3774,2966,4022,2900,2673
ID=FBgn0259170,5127,1020,1277,2985,1465,1049,1198
ID=FBgn0259171,1258,1484,1907,1076,1448,1143,924
ID=FBgn0259173,179,327,422,179,273,271,221
ID=FBgn0259174,2337,3001,3976,3072,3913,3172,3495
ID=FBgn0259175,283,252,289,296,296,222,179
ID=FBgn0259176,9838,9198,11579,9715,11967,8734,9608
ID=FBgn0259178,234,235,274,247,277,190,305
ID=FBgn0259199,192,335,452,192,283,301,345
ID=FBgn0259200,192,335,452,192,283,301,345
ID=FBgn0259202,2202,2756,3462,1974,2627,2612,2432
ID=FBgn0259203,715,834,1036,840,795,844,849
ID=FBgn0259204,85,81,117,109,93,105,82
ID=FBgn0259211,179,151,153,124,160,120,102
ID=FBgn0259212,3229,4233,5145,3808,5110,4048,3952
ID=FBgn0259214,4086,3043,3376,3889,3912,2955,5147
ID=FBgn0259221,419,499,572,406,504,430,556
ID=FBgn0259224,4533,581,737,2053,366,321,194
ID=FBgn0259227,3066,4482,5898,3072,4667,3732,4642
ID=FBgn0259228,4174,8167,10107,5712,10581,8097,7531
ID=FBgn0259229,789,470,489,807,549,369,635
ID=FBgn0259233,291,539,587,441,538,480,413
ID=FBgn0259236,466,606,786,552,692,593,486
ID=FBgn0259237,5281,2789,3112,3610,2394,2019,3028
ID=FBgn0259238,360,406,513,354,371,363,414
ID=FBgn0259242,4499,1697,1784,4963,3255,2271,2270
ID=FBgn0259243,668,845,1013,817,938,852,909
ID=FBgn0259246,560,843,928,326,605,427,282
ID=FBgn0259481,3344,5040,6809,4439,6693,5335,5726
ID=FBgn0259482,213,155,165,173,149,163,310
ID=FBgn0259483,1277,1779,2319,1298,1683,1645,1549
ID=FBgn0259676,291,522,535,385,553,575,482
ID=FBgn0259677,1674,1477,1903,1802,1753,1399,1638
ID=FBgn0259678,2613,1257,1474,2981,1800,1348,1937
ID=FBgn0259683,26947,13450,14123,14949,11154,8845,12602
ID=FBgn0259685,336,497,641,390,591,474,411
ID=FBgn0259699,1207,1292,1452,1465,1486,1522,1475
ID=FBgn0259700,1207,1292,1452,1465,1486,1522,1475
ID=FBgn0259704,502,655,752,489,648,703,756
ID=FBgn0259705,277,298,308,277,256,334,377
ID=FBgn0259708,166,93,126,168,136,139,158
ID=FBgn0259709,166,93,126,168,136,139,158
ID=FBgn0259711,166,157,174,175,116,125,138
ID=FBgn0259714,344,654,689,1433,1985,2088,792
ID=FBgn0259715,244,536,557,1207,1718,1850,629
ID=FBgn0259717,163,204,270,166,212,239,235
ID=FBgn0259718,292,318,450,191,174,265,180
ID=FBgn0259720,269,386,551,301,480,459,500
ID=FBgn0259721,191,275,346,225,205,270,247
ID=FBgn0259725,677,896,1044,720,789,840,909
ID=FBgn0259726,677,896,1044,720,789,840,909
ID=FBgn0259727,677,896,1044,720,789,840,909
ID=FBgn0259728,110,109,190,91,109,80,109
ID=FBgn0259734,460,536,711,246,388,289,237
ID=FBgn0259735,10182,12231,15598,13159,16646,11351,8917
ID=FBgn0259736,156,248,343,253,396,299,219
ID=FBgn0259740,962,872,1221,491,531,609,783
ID=FBgn0259742,264,257,252,241,227,216,282
ID=FBgn0259745,2686,2385,2863,2750,2873,2265,2256
ID=FBgn0259749,830,1396,1869,1638,2139,2140,1787
ID=FBgn0259785,1917,3178,3828,2438,3435,3030,2708
ID=FBgn0259791,275,372,493,258,287,268,321
ID=FBgn0259821,416,341,375,237,211,158,219
ID=FBgn0259824,1204,1692,1886,1178,1878,1631,1551
ID=FBgn0259834,406,415,522,429,508,532,492
ID=FBgn0259876,1583,2340,2649,1803,2095,1933,2184
ID=FBgn0259896,1162,1583,2259,1044,1338,1532,1830
ID=FBgn0259916,131,104,103,125,92,151,146
ID=FBgn0259917,407,360,422,423,343,373,415
ID=FBgn0259918,253,245,303,239,285,250,385
ID=FBgn0259932,513,790,1062,628,661,820,793
ID=FBgn0259933,609,741,1050,529,771,759,755
ID=FBgn0259935,2045,2066,2613,1652,1973,1652,1907
ID=FBgn0259936,241,183,174,228,220,192,371
ID=FBgn0259937,3150,4732,6331,2859,4470,4466,4977
ID=FBgn0259938,1238,1323,1743,1701,1978,1468,1329
ID=FBgn0259978,1222,1196,1501,1181,1273,1231,1401
ID=FBgn0259982,167,227,293,144,172,196,244
ID=FBgn0259984,9462,10773,13669,7447,11406,8083,7737
ID=FBgn0259985,188,144,216,163,172,166,209
ID=FBgn0259990,331,399,530,405,305,364,344
ID=FBgn0259991,200,316,360,266,333,253,290
ID=FBgn0259993,5362,5735,7701,6250,5945,6915,8603
ID=FBgn0259994,186,302,345,172,353,260,248
ID=FBgn0260003,3513,4580,5310,3739,5306,4111,4470
ID=FBgn0260004,142,185,191,155,183,153,167
ID=FBgn0260006,183,279,350,231,218,225,169
ID=FBgn0260008,869,358,329,240,256,314,806
ID=FBgn0260011,130,238,294,21,38,55,32
ID=FBgn0260012,1954,2184,2773,2177,2492,2345,2445
ID=FBgn0260026,248,309,336,210,256,273,267
ID=FBgn0260049,3069,4714,6088,2926,4161,3933,3927
ID=FBgn0260222,445,613,776,462,505,595,505
ID=FBgn0260223,1156,1719,2293,1395,1387,1550,1639
ID=FBgn0260224,269,446,530,235,310,388,424
ID=FBgn0260229,202,311,325,286,312,309,342
ID=FBgn0260233,1854,2682,3367,2315,2780,2290,2330
ID=FBgn0260237,1076,1924,2140,1201,1758,1804,1901
ID=FBgn0260238,57,113,169,74,123,97,99
ID=FBgn0260243,499,536,708,504,499,583,501
ID=FBgn0260388,990,1414,1787,1106,1337,1532,1627
ID=FBgn0260390,486,649,801,418,526,498,573
ID=FBgn0260392,467,501,732,591,479,498,597
ID=FBgn0260397,431,549,803,604,672,615,580
ID=FBgn0260398,486,649,801,418,526,498,573
ID=FBgn0260399,414,618,834,453,509,608,599
ID=FBgn0260400,537,534,704,438,460,332,417
ID=FBgn0260401,467,500,732,591,478,498,597
ID=FBgn0260407,258,250,322,306,235,261,286
ID=FBgn0260429,125,94,93,427,414,252,120
ID=FBgn0260439,6202,8600,10689,6216,8329,7995,8094
ID=FBgn0260442,3478,5905,6547,3721,6833,5386,5260
